columna,tipo_dato,filas_totales,nulos,%_nulos,strings_vacios,es_numerica,ceros,%_ceros_sobre_no_nulos,media,mediana,std,min,max,valores_unicos,moda_valor,moda_frecuencia
acumulación_lactancia,float64,123940,122255,98.64,,True,0,0.0,0.41554464451038575,0.358862,0.3080182514663977,0.001612,2.166645,468,0.32258,30
asistencial,object,123940,5354,4.32,5354.0,True,0,,,,,,,2,NO ASISTENCIAL,60129
at_/_ep,float64,123940,115388,93.1,,True,0,0.0,0.8363246288587466,0.6591175,0.7847529721056119,0.010483,6.6666,2423,0.999998,546
ausencia_no_justificada,float64,123940,119918,96.75,,True,0,0.0,0.20885215216310302,0.0684235,0.3096496131800751,0.004032,2.866638,1200,0.032258,497
capacidad,float64,123940,113640,91.69,,True,0,0.0,136.00466019417476,150.0,58.779134699467726,23.0,313.0,102,150.0,640
cd_centro,object,123940,0,0.0,0.0,True,0,,,,,,,198,CENTRO174,1085
días_asuntos_propios,float64,123940,93036,75.07,,True,3,0.01,0.14068716742169296,0.037499,0.23565873279310504,0.0,3.726748,8429,0.032258,5124
ec_/_anl,float64,123940,93560,75.49,,True,0,0.0,2.3187270498354184,0.99999,3.361621317255285,0.001612,30.909849,12103,0.999998,2357
fte_absentismo,float64,123940,87454,70.56,,True,0,0.0,2.434209669023735,0.99999,3.8867554542191183,0.001612,36.264354,14384,0.999998,2655
fte_contratación,float64,123940,6681,5.39,,True,12,0.01,6.283130672477165,0.999998,17.394252767418134,0.0,166.918274,31125,0.999998,17243
fte_reemplazo_vacaciones,float64,123940,109240,88.14,,True,0,0.0,1.6857267110204086,0.903224,2.1938966916801452,0.008064,30.838648,6131,0.999998,578
fte_sin_absentismo,float64,123940,6681,5.39,,True,2492,2.13,5.525708434849351,0.999998,15.166914224970757,0.0,151.538895,34002,0.999998,16269
horas_comité_seguridad,float64,123940,123796,99.88,,True,0,0.0,0.08623097222222222,0.064516,0.08185884507948711,0.024193,0.595926,50,0.033333,22
horas_sindicales,float64,123940,115017,92.8,,True,0,0.0,0.2515098776196346,0.133332,0.2868736257090127,0.004,1.998355,2376,0.032258,638
huelga_parcial,float64,123940,123767,99.86,,True,0,0.0,0.7903313063583816,0.858979,0.49513169688474834,0.019987,2.999994,66,0.999998,54
huelga_total,float64,123940,123758,99.85,,True,0,0.0,0.18843163736263732,0.066666,0.31333535323860384,0.010466,1.912452,54,0.033333,32
maternidad,float64,123940,119366,96.31,,True,0,0.0,0.8588687240926979,0.878974,0.5706561086951966,0.000576,4.473434,1150,0.999998,620
no._empleado,float64,123940,5167,4.17,,True,0,0.0,7.575080194993812,1.0,20.450584702234398,1.0,207.0,198,1.0,62359
ocupacion_facturada,float64,123940,114336,92.25,,True,22,0.23,121.50355162019333,134.11884403973818,50.472006752977144,-4.5866666957736015,300.00000035762787,4498,180.0,60
ocupacion_media,float64,123940,113768,91.79,,True,0,0.0,116.7769194625991,131.70967741935485,52.33842255030621,0.0967741935483871,262.8,3804,30.0,44
ocupacion_media_cd,float64,123940,118676,95.75,,True,0,0.0,19.467617714138882,14.770430107526881,20.65654599694444,0.03225806451612903,149.5,1526,2.0,120
ocupacion_media_res,float64,123940,115162,92.92,,True,0,0.0,123.52350024223408,131.25806451612902,41.49256184936084,0.0967741935483871,262.8,3131,2.0,24
paternidad,float64,123940,122916,99.17,,True,0,0.0,0.55600586328125,0.5481275000000001,0.36393156652072395,0.007425,1.999996,246,0.999998,112
permiso_retribuido,float64,123940,100065,80.74,,True,0,0.0,0.22527270173821992,0.096774,0.3749181871458258,0.000322,6.34845,6869,0.032258,2488
permiso_sin_sueldo,float64,123940,114689,92.54,,True,0,0.0,0.25846359528699603,0.066666,0.4258088144806627,0.006223,4.993675,2790,0.032258,1080
plantilla_total_absentismo,float64,123940,52757,42.57,,True,5,0.01,2.0466561882190977,0.399996,4.728778975239065,0.0,53.240267,24876,0.032258,3165
puesto,object,123940,5348,4.31,5348.0,True,0,,,,,,,160,LIMPIADOR/A,7476
rde,float64,123940,120310,97.07,,True,0,0.0,0.9144656887052341,0.935482,0.5943666381660833,0.013333,5.733276,828,0.999998,605
residencial,object,123940,0,0.0,0.0,True,0,,,,,,,1,RESIDENCIAL,123940
temporalidad,object,123940,0,0.0,0.0,True,0,,,,,,,4,Indefinido,84600
unnamed:_0,datetime64[ns],123940,0,0.0,,True,0,0.0,1.710041513222527e+18,1.7092512e+18,2.2533578179554612e+16,1.6725312e+18,1.748736e+18,30,2023-08-01 00:00:00,4396
vacaciones,float64,123940,86020,69.4,,True,9,0.02,1.0718814100210972,0.36290049999999996,1.9697766551389773,0.0,34.452607,13162,0.48387,1418
vacaciones_año_ant.,float64,123940,116378,93.9,,True,0,0.0,0.4686320605659879,0.290322,0.5726185276266187,0.000645,8.418405,2041,0.032258,229
